,1377 Cartridge - Propellant Actuated Devices and Components,N1377,Cartridge and Propellant Actuated Devices and Components
,,N1385,"Explosive Ordnance Disposal Tools, Surface"
,,N1386,"Explosive Ordnance Disposal Tools, Underwater"
,1390 Fuzes and Primers,N1390,Fuses and Primers
,1395 Miscellaneous Ammunition,N1395,Miscellaneous Ammunition
,,N1398,Specialized Ammunition Handling and Servicing Equipment
,,N1398B,Specialized Ammunition Handling Equipment - Pallets
14 Guided Missiles,1410 Guided Missiles,N1410,Guided Missiles
,1420 Guided Missile Components,N1420,Guided Missile Components
,,N1425,"Guided Missile Systems, Complete"
,,N1425AB,Guided Missile Systems (Marine)
,,N1427,Guided Missile Sub-Systems
,,N1427999,Guided Missile Sub-Systems Electrical and Electronic Compounds and Spares (Marine)
,1430 Guided Missile Remote Control System,N1430,Guided Missile Remote Control System
,"1440 Launchers, Guided Missile",N1440,"Launchers, Guided Missile"
,,N1450,Guided Missile Handling and Servicing Equipment
15 Aircraft and Airframe Structural Components,"1510 Aircraft, Fixed Wing",N1510,"Aircraft, Fixed Wing"
,,N1510A,"Airplanes, Civil Certified"
,"1520 Aircraft, Rotary Wing",N1520,"Aircraft, Rotary Wing"
,,N1520B,Helicopters (Military)
,1540 Gliders,N1540,Gliders
,1550 Drones,N1550,Unmanned Aircraft
,1560 Airframe Structural Components,N1560,Airframe Structural Components
,,N1560B,"Canopy, Aircraft, Plexiglass (Except Canopy, Ejection Seat)"
,,N1560C,"Cells, Fuels, Aircraft"
,,N1560D,"Tank, Fuel, Aircraft"
,,N1560E,"Window Panel, Aircraft"
,,N1560F,"Insulation, Thermal, Special Purpose, Aircraft Structural"
16 Aircraft Components and Accessories,1610 Aircraft Propellers,N1610,Aircraft Propellers and Components
,"1615 Helicopter Rotor Blades, Drive Mechanisms and Components",N1615,"Helicopter Rotor Blades, Drive, Mechanisms and Components"
,1620 Aircraft Landing Gear Components,N1620,Aircraft Landing Gear Components
,,N1620B,"Lever Assembly Claw, Aircraft Landing Gear"
,1630 Aircraft Wheel and Brake Systems,N1630,Aircraft Wheel and Brake Systems
,,N1630C,"Skis and Ski Equipment, Aircraft"
,,N1640,Aircraft Control Cable Products
,"1650 Aircraft Hydraulic, Vacuum, and De-Icing System Components",N1650,"Aircraft Hydraulic, Vacuum and De-Icing System Components"
,,N1650E,"Actuator, Electric, Pneumatic, Hydraulic, Manual"
,"1660 Aircraft, Air Conditioning, Heating and Pressurizing Equipment",N1660,"Aircraft Air Conditioning, Heating and Pressurizing Equipment"
,,N1660C,"Hose Assemblies, Oxygen System, Aircraft"
,,N1660CB,"Hose Assemblies, Low Pressure, Breathing Oxygen and Air, Aircraft"
,,N1660D,"Detectors, Ice, Aircraft"
,,N1660E,"Oxygen Equipment, Aircraft"
,"1670 Parachutes: Aerial Pick-Up, Delivery, Recovery System and Cargo Tie Down Equipment",N1670,"Parachutes, Aerial Pick-Up Delivery, Recovery Systems, and Cargo Tie Down Equipment"
,,N1670B,Parachutes and Associated Equipment
,,N1670BB,"Parachutes, Cargo, Aerial Delivery, Assemblies and Components"
,,N1670BC,"Parachutes, Personnel, Assemblies and Components"
,,N1670BD,Parachute Packing and Testing Equipment
,,N1670D,Helicopter Nets
,,N1670E,"Nets, Cargo Tie Down (Aircraft Pallet)"
,,N1670EA,"Straps, Cargo Tie Down"
,,N1670F,"Pallets, Cargo, Aircraft"
,1680 Miscellaneous Aircraft Accessories and Components,N1680,Miscellaneous Aircraft Accessories and Components
,,N1680999,Miscellaneous Aircraft Electrical and Electronic Components and Spares
,,N1680A,"Miscellaneous Aircraft Accessories and Components, N.E.S., Except  Electrical and Electronic"
,,N1680C,"Harness, Aircraft Safety, Pilots"
,,N1680D,"Hoists, Rescue, Helicopter"
,,N1680E,"Panels, Aircraft Control"
,,N1680G,"Refuelling System Components, in Flight"
,,N1680H,"Seats, Aircraft"
,,N1680J,"Seats, Aircraft Ejection"
"17 Aircraft Launching, Landing, and Ground Handling Equipment",1710 Aircraft Landing Equipment,N1710A,"Aircraft Arresting Barrier and Barricade Equipment, N.E.S."
,,N1710B,Helicopter Hauldown Equipment
,,N1710C,"Wire Rope Cable Assemblies, Aircraft Arresting Barrier"
,,N1710D,"Nylon Tape, U.S. Spec MIL-T-81521A, Designed for Aircraft Arresting Barriers"
,1720 Aircraft Launching Equipment,N1720,Aircraft Launching Equipment
,1730 Aircraft Ground Servicing Equipment,N1730,Aircraft Ground Servicing Equipment
,1740 Airfield Specialized Trucks and Trailers,N1740,Airfield Specialized Trucks and Trailers
,,N1740J,"Tractors, Wheeled, Aircraft Towing"
18 Space Vehicles,1810 Space Vehicles,N1810201,"Satellites, Payloads"
,1820 Space Vehicle Components,N1810203,Satellite Control Systems
,1830 Space Vehicle Remote Control Systems,N1830999,Space Vehicle Remote Control Systems Electrical and Electronic Components and Spares
,1850 Space Vehicle Handling and Servicing Equipment,,
"19 Ships, Small Craft, Pontoons, and Floating Docks",1905 Combat Ships and Landing Vessels,N1905,Combat Ships and Landing Vessels
,,N1905C,Submarines
,,N1905D,"Submersibles, All Purpose"
,,N1905E,"Vessels, Landing, All Types"
,,N1910,"Transport Vessels, Passenger and Troop"
,,N1915,Cargo and Tanker Vessels
,,N1915C,"Vessels, Tanker"
,,N1920,Fishing Vessels
,1925 Special Service Vessels,N1925,Special Service Vessels
,"1930 Barges and Lighters, Cargo",N1930,"Barges and Lighters, Cargo"
,"1935 Barges and Lighters, Special Purpose",N1935,"Barges and Lighters, Special Purpose"
,,N1935A,Barges - Special Purpose
,1940 Small Craft,N1940,Small Craft
,,N1940A,Canoes
,,N1940DA,Boats - Inflatable - Rigid Hull
,,N1940G,"Boats, Small, Aluminum"
,1945 Pontoons and Floating Docks,N1945,Pontoons and Floating Docks
,,N1945A,Berthing Docks - Floating
,1950 Floating Dry-docks,N1950,Floating Drydocks
,,N1955,Dredges
,1990 Miscellaneous Vessels,N1990,"Vessels, Miscellaneous"
,,N1990C,"Ships, Small Craft, Pontoons, and Floating Docks"
20 Ship and Marine Equipment,2010 Ship and Boat Propulsion Equipment,N2010,Ship and Boat Propulsion Components
,,N2010A,"Bearing Assembly, Shaft and Thrust, Ships Propulsion"
,,N2010B,Steering and Positioning Units and Thrusters
,,N2010C,Propellers (Marine)
,,N2010CA,"Propellers, Marine, Vertical, Cycloidal"
,,N2010E,"Seals, Stern, Tube"
,,N2010F,"Shafts, Propeller (Marine)"
,,N2010G,"Propulsion Units, Rotatable, Outboard"
,,N2010H,"Marine Transmissions, Reverse and Reduction Gears"
,,N2010J,"Propulsion Units, Rotatable, Inboard"
,,N2020,Rigging and Rigging Gear
,,N2020B,Booms
,,N2020BA,"Booms, Cargo"
,,N2020BC,"Booms, Yards, Masts, Wooden"
,,N2020BD,"Booms, Floating"
,,N2020BE,"Booms, Yards, Masts, Aluminum"
,2030 Deck Machinery,N2030,Deck Machinery
,,N2030B,Consoles
,,N2030BA,"Consoles, Ship Control"
,,N2030BB,"Consoles Ship Control, Including Engine and Bridge Controls"
,,N2030C,"Controls, Steering-Hydraulic"
,,N2030CA,"Stabilizers, Ship Motion"
,,N2030D,Davits
,,N2030E,Deck Machinery (N.E.S.)
,,N2030G,"Instrumentation, Remote Reading"
,,N2030H,"Reeling Machines, Cordage"
,,N2030J,Telemotors (Marine)
,,N2030M,Steering Gear
,,N2030N,"Deck Machinery, Winches, Marine"
,,N2030P,"Deck Machinery, Hoists, Marine"
,,N2030Q,"Deck Machinery, Windlass, Marine"
,,N2030R,"Deck Machinery, Capstans, Marine"
,,N2030S,"Deck Machinery, Cranes, Shipboard"
,,N2030T,"Deck Machinery, Loading Arms, Marine, Fluid Handling"
,,N2030U,"Deck Machinery, Winches, Oceanographic"
,2040 Marine Hardware and Hull Items,N2040,Marine Hardware and Hull Items
,,N2040A,Anchors (Sea)
,,N2040B,Hatches
,,N2040D,"Boom Fittings, Sailboat"
,,N2040E,"Fenders, Marine"
,,N2040EA,"Fenders, Dock"
,,N2040EB,"Fenders, Pneumatic"
,,N2040EC,"Fenders, Rope"
,,N2040ED,"Fenders, Marine, N.E.S."
,,N2040EE,"Fenders Marine, Systems"
,,N2040F,"Doors, Metal, Marine"
,,N2040FA,"Doors, Metal, Marine, Non-Power Operated"
,,N2040FB,"Doors, Metal, Marine, Power Operated"
,,N2040H,"Fittings, Chain, Cable Marine"
,,N2040J,"Hooks, Shackles"
,,N2040K,"Horns, Electric, Marine"
,,N2040L,Ladders
,,N2040M,Marine Hardware and Hull Items (Small Craft)
,,N2040N,"Mooring Bits, Bollards and Cleats"
,,N2040P,"Oars, Paddles and Staves"
,,N2040Q,"Plates, Deck"
,,N2040S,"Rudders, Ships"
,,N2040W,"Windows, Ships"
,2050 Buoys,N2050,Buoys
,,N2050A,"Buoys, All Types Except Plastic"
,,N2050B,Sinkers and Buoy Balls
,,N2050C,"Buoys, Plastic"
,,N2050D,"Buoys, Data Acquisition"
,,N2060,Commercial Fishing Equipment
,,N2060B,Fish Processing Machines
,,N2060C,Automated Fishing Gear
,,N2060F,Commercial Fishing Nets
,2090 Miscellaneous Ship and Marine Equipment,N2090,Ship and Marine Miscellaneous Equipment
,,N2090A,"Cabinets and Furniture, Marine, Wooden"
,,N2090AB,"Bookcases, Shipboard Type Including Racks"
,,N2090AC,"Filing Cabinets Shelf, Shipboard Type"
,,N2090AE,"Panels, Marine, Decorative, Fire Retardant"
,,N2090B,"Kits, Repair for Fibreglass Boats"
,,N2090C,"Ladders and Boatswains Chairs, Boarding Ship"
,,N2090D,"Locker, Clothing and Cleaning Gear, Shipboard Type"
,,N2090E,"Sails, Main and Jib"
,,N2090F,"Wipers, Windows, Ships"
,,N2090G,"Hangars, Helicopter, Telescopic, Shipboard (Custom Engineered)"
,,N2090H,"Equipment, Research, Marine"
,,N2090HA,"Carriage, Towing Tank"
,,N2090J,"Chair, Captain - Marine"
,,N2090K,Floats - Marine
22 Railway Equipment,2210 Locomotives,N2210,Locomotives
,2220 Rail Cars,N2220,Rail Cars
,"2230 Right-of-Way Construction and Maintenance Equipment, Railroad",N2230,"Right-of-Way Construction and Maintenance Equipment, Railroad"
,2240 Locomotive and Rail Car Accessories and Components,N2240,Locomotive and Rail Car Accessories and Components
,"2250 Track Materials, Railroad",N2250,"Track Materials, Railroad"
"23 Ground Effect Vehicles, Motor Vehicles, Trailers, and Cycles",,N2305,Ground Effect Vehicles
,2310 Passenger Motor Vehicles,N2310,Passenger Motor Vehicles
,,N2310005,Passenger Motor Vehicles - Exported
,,N2310M,Passenger Motor Vehicles - Special Vehicles - Buses - Motor Homes
,,N2310MA,Buses
,,N2310MAA,"Buses, Highway Type"
,,N2310MAB,"Buses, School - Special Type, 5 to 24 Passengers"
,,N2310MAC,"Buses School, Conventional Type, 25 Passenger and Up"
,"2320 Trucks and Truck Tractors, Wheeled",N2320,"Trucks and Truck Tractors, Wheeled"
,,,
,,,
,,N2320001,"Trucks, Commercial, Light Duty (10,000 lbs. GVW or Under)"
,,,
,,N2320002,Camper Type Vehicles
,,N2320003,"Truck, Light, Utility-Line Maintenance"
,,N2320B,"Truck, Utility, 4 X 4, Military Configuration"
,,N2320D,"Truck and Truck Tractor Wheeled, Diesel, Over 10,000 GVWR (Except Military Configuration)"
,,,
,,,
,,N2320DAA,"Truck, (Dump, Stake, Van) Diesel Powered, to 27,499 lbs. GVWR"
,,N2320DAB,"Trucks (Dump, Stake, Van) Diesel-Powered, 27,500 lbs. GVWR and Up"
,,N2320DDB,"Truck, Fuel Service, Diesel, 27,500 GVWR and Up"
,,N2320DFB,"Truck, Liquid Waste Disposal, Diesel, 27,500 GVWR and Up"
,,N2320DGB,"Truck, Maintenance, Diesel, 27,500 GVWR and Up"
,,N2320DJA,"Truck, Refuse Collection, Diesel, to 27,499 GVWR"
,,N2320DJB,"Truck, Refuse Collection, diesel, 27,500 GVWR and Up"
,,N2320DLA,"Truck, Tanker, Diesel, to 27,499 GVWR"
,,N2320DMA,"Truck, Tractor, Diesel, to 27,499 GVWR"
,,N2320DMB,"Truck, Tractor, Diesel, 27,500 GVWR and Up"
,,N2320DRA,"Truck, Sander (Hopper Body) Diesel, to 27,499 GVWR"
,,N2320DRB,"Truck, Sander (Hopper Body) Diesel, 27,500 GVWR and Up"
,,N2320DX,"Truck, Tractor, Yard, Trailers Spotter Off Highway, Diesel Powered"
,,N2320G,"Truck and Truck Tractor Wheeled, Gasoline Powered, Over 10,000 GVWR (Except Military Configuration)"
,,,
,,,
,,N2320GA,"Truck, (Dump, Stake, Van) Gasoline Powered"
,,N2320GG,"Truck, Maintenance, Gasoline Powered"
,,N2320GH,"Truck, Refrigeration, Gasoline Powered"
,,N2320GM,"Truck, Tractor, Gasoline Powered"
,,N2320GP,"Vehicles, All Terrain, ATV, Wheeled (Except Military Configuration)"
,,N2320GPM,"Vehicles, All Terrain, Wheeled (6X6) Military Configuration, Diesel Powered"
,,N2320GQ,"Truck, Wrecker, Gasoline Powered"
,,N2320GR,"Truck, Equipped with Hydraulic Crane"
,,N2320GS,"Truck, Sander (Hopper Body) Gasoline Powered"
,,N2320GT,"Truck, Aircraft Servicing, Catering"
,,N2320GU,"Truck, Equipped with Aerial Bucket"
,,N2320GV,"Truck, Equipped with Aircraft Boarding Stairs"
,,N2320GY,"Truck, Special Purpose Customized Body"
,,,
,,N2320L51,"Truck, Light, Utility, 4 X 4"
,,N2320L61,"Truck, Light, Utility, 4 X 4, 100 lb Pay Load"
,,N2320M60,"Truck, Light, Passenger Van, Garageable, GMV Spec M60"
,,N2320N01,"Truck, Light, Pick-Up, Compact, 4 X 4"
,,N2320N21,"Truck, Light, Pick-Up, Compact, Long, 4 X 4"
,,N2320N81,"Truck, Light, Pick-Up, Min. 8000 lb GVWR, 4 X 4"
,,N2320T00,"Truck, Light, Cargo Van, Garageable, GMV Spec T00"
,,N2320W00,Medium Truck Cab-Over-Engine
,2330 Trailers,N2330,Trailers
,,N2330A,Trailers (Military Pattern Only)
,,N2330B,"Trailer, Cargo Van"
,,N2330C,"Trailer, Fuel Service"
,,N2330D,"Trailer, House"
,,N2330E,"Trailer, Light, 5th Wheel"
,,N2330F,"Trailer, Low Bed"
,,N2330G,"Trailer, Maintenance"
,,N2330H,"Trailer, Pole"
,,N2330K,"Trailer, Snowmobile"
,,N2330L,"Trailer, Stake"
,,N2330M,"Trailer, Tank"
,,N2330N,"Trailer, Tent"
,,N2330P,"Trailer, Tilt Deck"
,,N2330Q,"Trailer, Utility"
,,N2330R,"Trailer, Wrecking"
,,N2330S,"Trailer, Auto"
,,N2330T,"Trailer, Cable Reel"
,,N2330U,"Trailer, Travel"
,,N2330V,"Trailer, Specially Equipped"
,,N2330W,"Trailer, Dump"
,,N2330X,"Trailer, Horse"
,,N2330Y,"Trailer, Live Stock"
,,N2330Z,"Trailer, Boat"
,"2340 Motorcycles, Motor Scooters, and Bicycles",N2340,"Motorcycles, Motor Scooters and Bicycles"
,"2350 Combat, Assault and Tactical Vehicles, Tracked",N2350,"Combat, Assault, and Tactical Vehicles, Tracked"
,,N2350A,Tanks and Tracked Self-Propelled Weapons and Vehicles W/WO Amphibian Capabilities
,,N2350E,Tracked Vehicles (Snowmobile)
,,N2350EA,Snowmobile
,,N2350EB,Snowmobile Sleigh and Attachments
,,N2350EC,"Snowmobile, Spare Parts"
,,N2355,"Combat, Assault and Tactical Vehicles, Wheeled"
24 Tractors,"2410 Tractors, Full Tracked, Low Speed-3",N2410,"Tractors, Full-Track, Low Speed"
,,N2410A,"Tractor, Crawler"
,,N2410B,"Cab Assemblies, Crawler Tractor"
,"2420 Tractors, Wheeled-3",N2420,"Tractors, Wheeled"
,,N2420A,"Tractor, Wheeled, Agricultural, 2 Wheel Drive"
,,N2430,"Tractors, Track laying, High Speed"
25 Vehicular Equipment Components,"2510 Vehicular Cab, Body and Frame Structural Components-10",N2510,"Vehicular Cab, Body and Frame Structural Components"
,,N2510C,"Vehicular Cab, Body and Frame Structural Components (Except Military Configuration)"
,,N2510F,"Vehicular Cab, Body and Frame Structural Components, Armoured Fighting Vehicle, S.M.P."
,,N2510FA,"Vehicular Cab, Body, and Frame Structural Components, N.E.S., Armoured Fighting Vehicle, S.M.P."
,,N2510FC,"Vehicular Cab, Body and Frame Structural Components, Ground Effect Vehicles"
,2520 Vehicular Power Transmission Components-10,N2520,Vehicular Power Transmission Components
,,N2520A,"Vehicular Power Transmission Components, for Tracked and Wheeled Vehicles, Military Configuration"
,,N2520B,"Vehicular Power Transmission Components, Armoured Fighting Vehicle, S.M.P."
,,N2520BD,"Transfer Cases/Gearboxes, Final Drive Assembly, Armoured Fighting Vehicle, S.M.P."
,,N2520C,"Vehicular Power Transmission Components, Ground Effect Vehicles"
,"2530 Vehicular Brake, Steering, Axle, Wheel and Track Components-10",N2530,"Vehicular Brake, Steering, Axle, Wheel and Track Components"
,,N2530001,"Vehicular Brake, Steering, Axle, and Wheel Components (Standard Commercial)"
,,N2530AB,"Axle Assembly, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2530AD,"Brake Shoes, Drums and Miscellaneous Brake Components (N.E.S.) for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2530AK,"Track and Track Components, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2530AL,"Wheel, Pneumatic Tire, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2530AM,"Wheel, Solid Rubber, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2530B,"Vehicular Brake, Steering, Axle, Wheel and Track Components, Armoured Fighting Vehicle, S.M.P."
,,N2530BLB,"Track Shoe Maintenance Equipment, Armoured Fighting Vehicle"
,,N2530BM,"Wheel, Pneumatic Tire, Armoured Fighting Vehicle, S.M.P."
,,N2530BN,"Wheel, Solid Rubber, Armoured Fighting Vehicle, S.M.P."
,,N2530C,"Vehicular Brake, Steering, Axle, Wheel and Track Components, Ground Effect Vehicles"
,2540 Vehicular Furniture and Accessories-10,N2540,Vehicular Furniture and Accessories
,,N2540000,Vehicular Furniture and Accessories (Standard Commercial)
,,N2540005,"Vehicle Accessory, Box Cap for Light Trucks (Fibreglass or Aluminum)"
,,N2540A,"Absorbers, Shock, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2540C,"Furniture and Accessories, Miscellaneous, N.E.S., for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2540G,Vehicular Tire Chain Assembly (Standard Commercial)
,,N2540H,"Vehicular Furniture and Accessories, Ground Effect Vehicles"
,2541 Weapons System Specific Vehicular Accessories,N2541,Weapons Systems Specific Vehicular Accessories
,2590 Miscellaneous Vehicular Components-10,N2590,"Vehicular Components, Miscellaneous"
,,N2590A,"Vehicular Components, Miscellaneous, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2590AA,"Cylinder Assembly, Hydraulic, for Tracked and Wheeled Vehicles, Except Ground Effect and Armoured Fighting Vehicles"
,,N2590C,"Miscellaneous Vehicular Components, Armoured Fighting Vehicle, S.M.P."
,,N2590CA,"Miscellaneous Vehicular Components, N.E.S., Armoured Fighting Vehicle, S.M.P."
,,N2590D,"Vehicular Components, Miscellaneous, N.E.S. (By Company)"
,,N2590DCA,"Vehicular Components, Miscellaneous, N.E.S. - Ford"
26 Tires and Tubes,"2610 Tires and Tubes, Pneumatic, Except Aircraft",N2610,"Tires and Tubes, Pneumatic, Except Aircraft"
,"2620 Tires and Tubes, Pneumatic, Aircraft",N2620,"Tires and Tubes, Pneumatic, Aircraft"
,"2630 Tires, Solid and Cushion",N2630,"Tires, Solid and Cushion"
,2640 Tire Rebuilding and Tire and Tube Repair,N2640,Tire Rebuilding and Tire and Tube Repair Materials
,,N2640004,Tire Fill
"28 Engines, Turbines, and Components",2805 Gasoline Reciprocating Engines Except Aircraft and Components,N2805,Gasoline Reciprocating Engines (Except Aircraft) and Components
,,N2805001,"Motors, Outboard"
,,N2805002,"Motor, Outboard - Parts"
,,N2805A,"Controls, Marine Engine"
,,N2805B,"Engines, Gasoline (Except Aircraft, Marine and Outboard Motors)"
,"2810 Gasoline Reciprocating Engines, Aircraft and Components",,
,2815 Diesel Engines and Components,N2815,Diesel Engines and Components
,,N2815A,"Diesel Engines, Air Cooled"
,,N2815AB,"Diesel Engines, Air Cooled, Marine"
,,N2815B,"Diesel Engines and Components, N.E.S."
,,N2815BB,"Diesel Engines and Components, N.E.S., Marine"
,,N2815BRB,"Diesel Engines and Components, N.E.S. - Detroit"
,,N2815BRP,Diesel Engines and Components - Caterpillar
,,N2815D,Engine Valve Assemblies and Seats
,,N2815DB,"Engine Valve Assemblies and Seats, Marine"
,,N2815G,"Diesel Engines and Components, Ground Effect Vehicles"
,"2820 Steam Engines, Reciprocating and Components",N2820,"Steam Engines, Reciprocating and Components"
,2825 Steam Turbines and Components,N2825,Steam Turbines and Components
,"2835 Gas Turbines and Jet Engines, Except Aircraft and Components",N2830,Water Turbines and Water Wheels and Components
,"2840 Gas Turbines and Jet Engines, Aircraft and Components",N2840,"Gas Turbines and Jet Engines, Aircraft, Prime Moving and Components"
,2845 Rocket Engines and Components,N2845,Rocket Engines and Components
,,N2850,Gasoline Rotary Engines and Components
,2895 Miscellaneous Engines and Components,N2895,Miscellaneous Engines and Components
,,N2895C,"Turbines, Wind Driven"
29 Engine Accessories,"2910 Engine Fuel System Components, Non-Aircraft-10",N2910,"Engine Fuel System Components, Non-Aircraft"
,,N2910006,"Injectors, Fuel, Diesel Engine"
,,N2910007,"Conversion Systems, Natural Gas, Vehicle"
,,N2910D,"Engine Fuel System Components, Non-Aircraft, Armoured Fighting Vehicle, S.M.P."
,,N2910DB,"Injector, Fuel, Armoured Fighting Vehicle, S.M.P."
,,N2910DE,"Fuel, Tank,Armoured Fighting Vehicle, S.M.P."
