SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Tender,Construction,,"The bid documents for this bid have been posted on bids and tenders for viewing and downloading. All correspondence regarding this opportunity will be communicated through bids and tenders.
Note Quotations will not be opened publicly
DEADLINE 16-Jul-2019 14:00;59 pm local time",2019-07-16T06:00:00,Robert,Lackey,780-762-5855,,2019-06-24T16:20:10,2019-06-24T16:25:49,,Beaconhill Construction Access Road Restoration,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=1C431161-084C-4648-B37F-08F7D0036E25,"5131BB Paving Contractor Services (except Mud Jacking)  5131C Highways, Roads, Railways,  Airfield Runways",,1c431161-084c-4648-b37f-08f7d0036e25,QU4898 (RFT-2019-63),AB-2019-04008
Request for Pre-Qualification,Goods,,"The Bid document(s) for this opportunity has been posted on https://reddeer.bidsandtenders.ca for viewing and downloading.
Submission of bids will continue to be in-person and/or by mail courier.",2020-11-30T23:00:59,Asha,Goda,403-342-8273,,2018-11-28T16:31:55,2018-11-28T19:45:35,"The City of Red Deer Professional Building, Suite 600 4808 50th Street 
Red Deer, AB T4N 1X5  
Attn: purchasing@reddeer.ca",Structured Steel Pre - Qualification,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=C2903C12-708A-4387-A7FC-0A355654FB68,"5155B Steel Bending and Erection  5155C Structural Steel Work  5169N Steel Work - Partition Erection  5176C Metal Fabricators (Iron and Steel)  C121A Architectural & Engineering Services - Restoration/Conservation Heritage Building Structures  C129A Architectural & Engineering  Services - Other Non-Building Structures  C130A Architectural & Engineering Services - Restoration/Conservation Heritage Non-Building Structures  JI5820D Steel Towers and Antennas, Communications - Installation  JX5445 Prefabricated Tower Structures - Repair and Maintenance  JX5450 Structures, Prefabricated, Miscellaneous - Repair  N4510AGA Sink, Stainless Steel, Mobile  N4710AK Pipe, Stainless Steel (Except Aircraft)  N4710AL Pipe, Welded Steel (Except Aircraft)  N4710AM Pipe, Steel, Polyurethane Insulated  N4710B Piping, Prefabricated Steel and Iron  N4710CE Tube, Steel  N5440CB Scaffolding, Steel  N5445 Prefabricated Tower Structures  N5445A Prefabricated Tower Structures, Aluminum  N5445B Prefabricated Tower Structures, Steel  N5445BA Prefabricated Tower Structures, Steel, Noise Control  N5450 Structures, Prefabricated, Miscellaneous  N5450A Structures, Prefabricated, Wood, Energy Saving  N5450B Miscellaneous Prefabricated Structure - Steel  N5450C Miscellaneous Prefabricated Structure - Aluminum  N5680BA Steel Bar, Reinforcing, CCC Contracts  N7125HE Racks, Storage, Steel, General Purpose  N7125KD SHELVING, STORAGE AND DISPLAY, MODULAR, STEEL  N7125KJ SHELVING, STORAGE AND DISPLAY, MODULAR, STEEL, CORRECTIONAL SERVICE DESIGN  N9510AC METAL BAR, STEEL (N.E.S.)  N9510CA METAL ROD, DRILL ROD (TOOL STEEL)  N9515AB PLATES AND SHEETS - STAINLESS STEEL  N9515D SHIMSTOCK, STEEL  N9515E STEEL STRIP  N9515EA STEEL STRIP, COPPER/NICKEL PLATED  N9515F FLOOR PLATE, STEEL, DOUBLE DECK  N9520AA PILING, STEEL, SHEET  N9520AC PILING, STEEL, PIPE  N9520D STEEL, STRUCTURAL  N9520E STEEL SECTION, ROLL FORMED, (SPECIAL SHAPES)  N9640 Iron and Steel Primary and Semifinished Products  N9640BB CASTINGS, STEEL  N9905KD SIGNS, TRAFFIC, STEEL  WR5445 PREFABRICATED TOWER STRUCTURES - RENTAL",,c2903c12-708a-4387-a7fc-0a355654fb68,1090-2018-249,AB-2018-07091
Request for Proposal,Construction,,The Town of Sylvan Lake is seeking Proposals from qualified Proponents to design and build a 60’x40’ portable stage storage shed at the municipal operations building.,2019-07-19T08:00:00,Kyle,Teune,403 887 2800 x 316,,2019-06-20T15:47:57,2019-06-20T16:30:00,,Portable Stage Storage Shed,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=CF8BFA7E-400B-4486-9173-0ABBF3344460,5129B Construction of Other Buildings,,cf8bfa7e-400b-4486-9173-0abbf3344460,CP 1826,AB-2019-03959
Invitation to Tender,Construction,18M-01886-00 - Enoch Cree First Nation – Solid Waste Diversion Station,"18M-01886-00 - Enoch Cree First Nation – Solid Waste Diversion Station shall include but not limited to the following:
  Common Excavation;
  Topsoil Placement and Hydro Seeding;
  Subgrade Preparation;
  Supply and Place Non-Woven Geotextile;
  Gravel Surfacing;
  Lock Block Wall;
  Supply and Install Prefabricated Buildings – design and install concrete foundation, plumbing, electrical, HVAC;
  Concrete pads;
  Electrical Services to site;
  Lighting, Video and CCTV;
  Supply and Install – Fence and Gate;
  Waste Removal – Optional",2019-07-09T20:00:00,Gorin,Gajic,(780)951-4080,,2019-06-19T17:54:58,2019-06-19T19:46:48,,18M-01886-00 - Enoch Cree First Nation,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=49851523-EEAA-457B-9087-0AFD8E2EA391,"5129B Construction of Other Buildings  5139B Engineering Works, Not Elsewhere Specified  5162A Water Plumbing and Drain Laying Work  5164A Electrical Installations and Major Repairs  5164CP Building Electronic Controls - Installation and Repair",,49851523-eeaa-457b-9087-0afd8e2ea391,AB-2019-00709,AB-2019-03939
Request for Proposal,Services,The AER is seeking to establish a service contract with an expert vendor to cover for a number of SAP project components. Please see RFP document for details.,The AER is seeking to establish a service contract with an expert vendor to cover for a number of SAP project components. Please see RFP document for further details.,2019-07-26T20:00:59,Alex,Skrynnikov,403-297-7030,403-297-8688,2019-06-27T20:41:42,2019-07-02T12:00:00,"procurement@aer.ca

OR

The Alberta Energy Regulator
Suite 1000, 250 - 5 St. SW
Mailroom, 10th Floor
Calgary, Alberta, Canada, T2P 0R4",SAP Basis and Security Benchmarking,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B34B1876-08DB-408D-B7CB-0BCFE9CF3B1A,"D302A Informatics Professional Services  D302AAF Informatics Professional and Consulting Services, Training, EDP Systems  D302AAG Informatics Professional and Consulting Services, Documentation, Technical Writing  D302AAH Informatics Professional and Consulting Services - Maintenance Operations, Support  D302AAI Informatics, Professional and Consulting Services - Network Planning, Design, Implementation, Management, Etc.  D302AAJ Informatics Professional and Consulting Services, Requirements, Analysis, Feasibility Studies  D302AAK Informatics Professional and Consulting Services - Systems Evaluation, Planning, Audit, Etc.  D302AAO Informatics Professional and Consulting Services, Systems Analysis Design  D302AAR Informatics Professional and Consulting Services, Systems Management, Project Management, EDP Management Consulting  D307A Systems Integration of Informatics Commodities and Services",,b34b1876-08db-408d-b7cb-0bcfe9cf3b1a,19RFP-CS006,AB-2019-04108
Request for Quotation,Goods,,"This Request for Quotations (“the RFQ”) issued by the City of Lethbridge (the “City”) is an invitation to submit non-binding offers for the provision of Electrical Utility Transformer Supplier as further described in “Part 4 - Deliverables”, for the rates established in the pricing schedule(s). The respondent selected pursuant to this RFQ process will be informed in writing. Respondents not selected will also be informed in writing.",2019-07-23T20:00:00,Brian,Martin,403-320-4157,,2019-06-19T21:57:13,2019-06-21T02:00:00,"ELECTRONIC BID SUBMISSIONS ONLY, shall be received through the City of Lethbridge
Bidding System. You MUST register as a plan taker and submit your bid through the City of
Lethbridge bidding system in order to be considered a compliant bidder.
https://lethbridge.bidsandtenders.ca",Electrical Utility Transformer Supplier,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=6B571259-9E0A-4D5B-9944-0BDFE876A2EB,"N5950 Coils and Transformers  N5950EG Transformers, Unit Substation, Three Phase  N6120520 Transformers, Unit Substation, Single-Phase, Dry Type, over 1 KVA  N6120560 Transformers, Unit Substation, Three-Phase, Oil Filled, over 1 KVA  N6120590 Transformers, Unit Substation, Three-Phase, Silicone, over 1 KVA","ELECTRONIC BID SUBMISSIONS ONLY, shall be received through the City of Lethbridge
Bidding System. You MUST register as a plan taker and submit your bid through the City of
Lethbridge bidding system in order to be considered a compliant bidder.
https://lethbridge.bidsandtenders.ca",6b571259-9e0a-4d5b-9944-0bdfe876a2eb,COL-18-200,AB-2019-03950
Notice of Proposed Procurement,Goods,,Notice of Planned Procurement to participate in one or more procurements conducted by the Rural Municipalities of Alberta,2020-05-01T05:30:00,Amanda,Riley,403-335-7725,,2019-05-13T17:41:50,2019-05-13T18:10:51,,NOTICE OF PLANNED PROCUREMENT ONLY.,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=FC49E2ED-14E5-4A99-A94A-0C29D46F4756,"N2630 Tires, Solid and Cushion  N4210 Fire Fighting Equipment  N4210P Firefighting Equipment - Complete Fire Trucks and Trailers Only  N4320 Power and Hand Pumps  N4710 Pipe, Tube and Rigid Tubing  N4820 Valves, Nonpowered  N7510 Office Supplies  N9905K SIGNS  N9999 Miscellaneous Items",,fc49e2ed-14e5-4a99-a94a-0c29d46f4756,NOPP 19-001,AB-2019-03238
Request for Proposal,Services,,"Mats shall be commercial grade indoor and outdoor slip and stain resistant
with rubber backing. Mats must be in good condition and have no soil or
stain markings, visible wear or fraying and durable enough to withstand salt
and slush. The City reserves the right to have Preferred Proponent replace
any mat that does not meet these standards, without charge

Unless specified otherwise elsewhere in the InformationTable under Agreement(s),Terms, Renewal and Proof of Concept(PoC), it is The City’s intention to enter into an Agreement with only one (1) legal entity.  The Agreement may include a PoC for a period to be specified in the Information Table.  The term of the Agreement will be (i) for so long as it takes to perform the Deliverables and honour any warranties if there is no term specified in the Information Table OR (ii) for the term specified in the Information Table.  If indicated in the Information Table and agreed to by the parties, the Agreement may be renewed for the period of time specified in the Information Table on the same terms and conditions, including price, unless otherwise specified or agreed by the parties.   Other agreement(s) related to the use or maintenance and support of any of the Deliverables may also be negotiated and executed on behalf of The City.

This procurement process is not intended to create, and, will not create, a formal, legally binding bidding process. It will instead be governed by the law applicable to direct commercial negotiations.",2019-07-15T20:00:59,Ali,Abulrejal,4032684756,,2019-06-24T14:59:05,2019-06-24T14:59:52,Bidding documents should be obtained from Merx as shown below.  Bids are to be submitted via the Merx 4 online portal found at www.calgary.merx.com   Hard copies will not be accepted.  Failure to submit via Merx 4 will result in a non-compliant bid. *Contractors must register on the Merx 4 portal.,Rental and Delivery of Interior Floor Mats,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=EF449B07-6DF8-4C71-9327-0C2E79798772,"N7220D MAT, FLOOR  N7220E MATTING, FLOOR",,ef449b07-6df8-4c71-9327-0c2e79798772,19-1671,AB-2019-04004
Notice of Sale,Services,,Leduc County is offering the Mechanical and Electrical components its Nisku Bulk Water Station for sale. The minimum reserve price and details are provided in the bid documents.,2019-07-10T20:00:00,Dean,Downey,(780)955-4541,,2019-06-19T20:27:51,2019-06-19T20:37:04,,Sale of Bulk Water Station,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=5007B455-9285-4C87-870D-0C52157400CC,"E103A Water Quality Support Services  N4110J Dispensers, Drinking Water, Mechanically Cooled  N4320DB Pumps, Hand Operated, Water Service  N4320FD Pumps, Rotary Positive Displacement, Water Ring Type  N4320FDA Pumps, Rotary Positive Displacement, Water Ring Type, Except Marine  N4610 Water Purification Equipment  N4610L Water Purification Systems  N4610LC Water Purification Equipment, N.E.S.  N4620 Water Distillation Equipment, Marine and Industrial  N6630Q WATER QUALITY MONITORING SYSTEMS (IN-SITU)  N6810BFA WATER TREATMENT, BOILER FEED CHEMICALS ONLY  N6810BFB WATER TREATMENT, REAGENTS AND CHEMICALS (N.E.S.)  N8960F Water, Potable, Bulk (replaced by gsin N8960ZF)  S003A Water Supply  S003E Water Treatment Services  S099J Utilities (Electricity, Water, Gas, and Sanitary Services)  WR8960zf Water, Bulk, Drinking",,5007b455-9285-4c87-870d-0c52157400cc,Notice of Sale 19-018,AB-2019-03944
Request for Pre-Qualification,Services,"Athabasca University is inviting  qualified entities to submit a Proposal in becoming a Member of its Pool of Research Grant Consultants, as detailed in the enclosed Prequalification Request (RFPQ).","Athabasca University is inviting  qualified entities to submit a Proposal in becoming a Member of its Pool of Research Grant Consultants, as detailed in the enclosed Prequalification Request (RFPQ).",2020-01-01T06:00:59,R.Z. (Bob),Hollmann,(780) 675-6443,(780) 675-6813,2019-01-25T17:28:16,2019-01-25T18:25:06,"Purchasing and Contract Service 
Athabasca University 
AU Central (Main Campus)
1 University Drive 
Athabasca, AB T9S 3A3
Attn: R.Z. (Bob) Hollmann – Purchasing Coordinator
E-Mail: aupurchasing@athabascau.ca",RESEARCH GRANT CONSULTANTS,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=50EE7AB6-C742-4653-A85F-0D4EB69C1627,R019U Professional Services / Program Research Analysis  R201DE Services of Individuals - Industrial Research  T002AK Research and Writing,,50ee7ab6-c742-4653-a85f-0d4eb69c1627,RFPQ 2018-0264,AB-2019-00551
Request for Tender,Services,,"The Work is comprised of, but not limited to, tree cutting and mulching, supply and installation of sanitary forcemain, trenchless construction, supply and installation of valves, supply and installation of future connections, muskeg
crossings, and connection to existing forcemain.",2019-07-11T08:00:59,Betty-Jane,Marks,780-799-8647,,2019-06-04T17:13:13,2019-06-04T17:22:08,,Gregoire Lake Estates to Anzac Forcemain,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=33F2A216-FB00-4833-BAEE-0D834F068162,"5133D Sewers/ Drainage  5162D Sewers and Drains  K107A Landscaping and Horticultural Services  N4710E Pipe, Sewer  S099A Sanitary Services  S099H Specialized Sanitary Services, Not Elsewhere Specified",,33f2a216-fb00-4833-baee-0d834f068162,RFT-2019-39 (QU4299),AB-2019-03670
Request for Pre-Qualification,Services,,"In the event the Province requires helicopter services for emergency operations and activities related to the operations, the Ministry of Agriculture and Forestry will enter into casual hire contracts with helicopter companies to deliver those services.  The term “casual” means the aircraft will be hired on an as-needed basis with no guarantee of work.  Contracts are signed with all qualified aircraft companies who would like to conduct business with the Province.  The current casual helicopter contract is set to expire on March 31st, 2019.  Contracts for the 2019-2024 term are now available.",2024-03-29T20:00:59,Shawn,Lagasse,780-644-5524,,2018-12-12T21:01:24,2018-12-12T21:15:23,"To set up a casual charter helicopter contract, please contact the Aircraft Accounts section by email at wf.awhq-aircraftaccts@gov.ab.ca",Casual Charter Helicopter Contract,Alberta,Open,NWPTA/TILMA & CFTA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=6854EE5E-253C-4A3A-A2ED-0DAD1DE7407C,"F001B Fire Prevention - Forestry  F010B Forestry Services, Not Elsewhere Specified  N1520 Aircraft, Rotary Wing  V200B Air Transportation  V201A Fixed Wing Aircraft - Airplane Charter  V201B Rotary Wing Aircraft - Helicopter Charter  V403B Transportation Services - Helicopter and Aircraft","Additional information can be found under ""Documents"".",6854ee5e-253c-4a3a-a2ed-0dad1de7407c,20TDRAFD500,AB-2018-07354
