SOLICITATION,OPPORTUNITY_REF,REV_NUMBER,CONTACT,TELEPHONE,FACSIMILE,GSIN,NOTICE_TYPE,REGION_OPP,REGION_DELIVERY,AGREEMENT_TYPE,SOLIC_METHOD,ESTIMATED_VALUE,POSTING_DATE,CLOSING_DATE,CLOSING_TIME,E_TITLE,F_TITLE,E_DETAIL_1,F_DETAIL_1,E_DETAIL_2,F_DETAIL_2,URL,JURISDICTION
TA0618 - TSG,41607938,0,Sam Bonner,1 (250) 731-3095,1 (250) 286-9420,BT06,Invitation to Bid,,BC,,,,20190527,20190625,11:00 Local Time,"TA0618 - Rosewall Creek, Port Alberni - TSG",,"
TA0618 Rosewall Creek, Port Alberni Field Team

BONUS OFFER/CRUISE-BASED

Take notice that, pursuant to Section 20 of the Forest Act, Timber Sale Lic
ence (TSL) TA0618 is being offered for sale by the BC Timber Sales Strait o
f Georgia Business Area.  Tenders will be accepted from individuals or corp
orations registered as a BC Timber Sales Enterprise in Category 1 or 2 unde
r the BC Timber Sales Regulation.

Closing Date: June 25, 2019, at 11:00 a.m.

Closing Location:  Applications will be accepted by the Timber Sales Manage
r, Campbell River Timber Sales Office, at 370 South Dogwood Street, Campbel
l River, BC  V9W 6Y7.

Geographic Location: Rosewall Creek.

Total Estimated Net Cruise Volume: 21,345 m3, more or less.

Estimated Area: 28.9 hectares.

Estimated Species: Douglas-fir 17,462m³(82%), Hemlock 2,054m³(10%), Cedar 9
22m³ (4%), Alder 685m³(3%), Balsam 222m³(1%), more or less.

The preceding volume and species estimates are based on samples from a Full
 Cruise.  Please see tender package for additional detail.  Bidders are str
ongly advised to conduct a thorough field review of the licence area to ver
ify timber volume and grade estimates.

Licence Term: 16 months.

Total Stumpage Value:  $1,278,992.40.  The Total Stumpage Value was determi
ned in accordance with the Coast Appraisal Manual.

This is a cruise-based TSL pursuant to section 106 of the Forest Act.  Scal
ing of logs is not required for billing purposes.  The Total Amount of Stum
page and the Bonus Offer will be payable in periodic increments upon commen
cement of harvesting.

If, after reviewing the tender package, you are still unsure of the differe
nces between a Bonus Offer and Bonus Bid, or of the differences between a c
ruise based and scale based TSL, please contact the Timber Sales Office ide
ntified above.

The successful applicant will be required to implement and conform to the B
C Timber Sales Environmental Management System and this TSL also conforms t
o the standards of the following forest management certification syste",,"
Sam Bonner
BC Timber Sales - Timber Auctions
BC Timber Sales - Strait of Georgia
370 South Dogwood Street

Campbell River
British Columbia
V9W 6Y7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607938,BC
A95001 - TPL,41614045,0,"Jahn, Carl",1 (250) 7841218,1 (250) 7840143,BT06,Invitation to Bid,,BC,,,,20190527,20190617,10:30 Local Time,A95001 - TPL - DC - Gething Creek,,"
TSL A95001, TPL - DC, Gething Creek

BONUS OFFER/CRUISE-BASED

Take notice that, pursuant to Section 20 of the Forest Act, Timber Sale Lic
ence (TSL) A95001 is being offered for sale by the BC Timber Sales Peace-Li
ard Business Area.  Tenders will be accepted from individuals or corporatio
ns registered as a BC Timber Sales enterprise in Category 1 and 2 (under th
e BC Timber Sales Regulation.

Closing Date: June 17, 2019 at 10:30 am Local Time

Closing Location:  Applications will be accepted by the Timber Sales Manage
r, Peace-Liard Timber Sales Office, at 
9000 - 17th St., 
Dawson Creek, BC, 
V1G 4A4 

Geographic Location: Gething Creek

Total Estimated Timber Sale Volume 7,610m3, more or less

Estimated Area: 26.00 ha.
 
Estimated Species:  Balsam 1,982m³(26%), Lodgepole pine 2,857m³(38%), Spruc
e 2,389m³(31%), Aspen 60m³(1%),Cottonwood 322m³(4%), more or less.

The preceding volume and species estimates are based on samples from a Full
 Cruise Please see tender package for additional detail.  Bidders are stron
gly advised to conduct a thorough field review of the licence area to verif
y timber volume and grade estimates.

Licence Term: 24 months 
 
Total Stumpage Value:  $65,141.60. The Total Stumpage Value was determined 
in accordance with the Interior Appraisal Manual.

This is a cruise-based TSL pursuant to section 106 of the Forest Act.  Scal
ing of logs is not required for billing purposes.  The Total Amount of Stum
page and the Bonus Offer will be payable in periodic increments upon commen
cement of harvesting.

If, after reviewing the tender package, you are still unsure of the differe
nces between a Bonus Offer and Bonus Bid, or of the differences between a c
ruise based and scale based TSL, please contact the Timber Sales Office ide
ntified above.

The successful applicant will be required to implement and conform to the B
C. Timber Sales Environmental Management System and this TSL also conforms 
to the standards of the following forest management certification system: S
ustainable For",,"
Jahn, Carl
BC Timber Sales - Timber Auctions
BC Timber Sales - Timber Auction
9000 - 17th St.

Dawson Creek
British Columbia
V1G 4A4",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41614045,BC
2019-509,41613141,1,"Zayonc, Alexandria",1 (250) 4749674,,CF EE,Invitation to Tender,,BC,,,,20190527,20190625,15:00 Pacific Time,ITT 2019-509 Lyall Harbour Upgrades,,"
May 27,2019: Addendum No 1: Inclusion of construction drawing.

May 27,2019: 
1. INVITATION TO TENDER 
1.1 Sealed Tenders, plainly marked on the envelope ""Tender for 2019-509 - L
YALL HARBOUR UPGRADES"" will be received by the Purchaser, Integrated Water 
Services of the Capital Regional District at their offices at 479 Island Hi
ghway, Victoria, British Columbia up to 3:00 pm local time on June 25, 2019
, at which time they will be opened in public. 
1.2 The works to be constructed under this Contract include, but are not li
mited to, work on the approach including pile cap sandblasting and repainti
ng and pile replacement; repairs to Float A, B and C including decking, bul
l rails anodes on pile, floatation and UHMW wearing pads; gangway repairs i
ncluding guide rails and roller bearings. Complete scope to be confirmed wi
th the successful bidder upon a pre-construction inspection. (See attached 
Moffat & Nichol and Stantec inspection reports.) 
The contractor must also provide transportation to the Lyall Harbour Dock F
acility prior to construction for inspections of works, which is to include
 3 CRD representatives. 
1.3 Digital copies of Specifications, Drawings, Contract Documents, and Ten
der Form will be available for no cost electronic download from the CRD web
site at https://www.crd.bc.ca/about/contracts-rfps/current after registerin
g as a vendor. Registration is done on the website at no cost. 
1.4 The lowest or any tender will not necessarily be accepted. 
1.5 A non-mandatory pre-tender site meeting to clarify or answer questions 
in regards to the project will be held at 10:00 am on Thursday June 06, 201
9 at 479 Island Highway, Main Conference Room. 
1.6 For information and/or enquiries on this project please contact Alexand
ria Zayonc, Purchaser at 250-474-9674.",,"
Zayonc, Alexandria 
Capital Regional District
Purchasing - IWS
479 Island Highway

Victoria
British Columbia
V9B 1H7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41613141,BC
103-04/19,41613937,4,purchasing@burnaby.ca,,,EE01,Invitation to Tender,,BC,,,,20190527,20190530,15:00 Local Time,Burnaby Village Museum Carousel Enhancements,,"
Amendment No. 4 issues Addendum No. 4 consisting of 2 pages. 2019 May 27

Amendment No. 3 issues Addendum No. 3 consisting of 7 pages. 2019 May 24

Amendment No. 2 issues Addendum No. 2 consisting of 26 pages. 2019 May 21

Amendment No. 1 issues Addendum No. 1 consisting of 1 page. 2019 May 15

The City of Burnaby invites tenders from Pre-Qualified General Contractors 
for the construction of a new pavilion and glazed canopies as further detai
led herein.

Only the following Pre-qualified General Contractors under RFQ #24-02/17 wi
ll be invited to tender this project.

1. Alfred Horie Construction Co Ltd. 
2. Holaco Construction Ltd. 
3. Halse-Martin Construction Co Ltd. 
4. Kinetic Construction Ltd. 
5. Heatherbrae Builders Co. Ltd. 
6. Turn-Key Construction Inc. 

A mandatory site tour has been arranged to begin at 9:30am on May 9th 2019 
at the site located at 6501 Deer Lake Avenue, Burnaby BC to visit and exami
ne the works. The prequalified general contractors or their agents shall re
gister their presence with the Consultant at the site tour stating the name
 of the contractor they represent.

Tenders will not be opened in public.  All unverified results will be poste
d on the Owner's website by 10:00am the next business day after the Tender 
Closing Time and Date.

Bid Security will not be returned to the unsuccessful tenderers unless a re
quest is submitted in writing to <a class=""doc_mailto"" href=""mailto:purchas
ing@burnaby.ca"">purchasing@burnaby.ca</a> with the reference to the project
 name and number.

Submissions and/or amendments will not be accepted by facsimile or email. L
ate submissions or submissions delivered to locations other than the addres
s indicated will be returned to the Tenderer unopened.",,"
purchasing@burnaby.ca
City of Burnaby
6161 Deer Lake Avenue


Burnaby
British Columbia
V5G 4A3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41613937,BC
2019-06 RFP,41612111,0,Tracey Butler,1 (250) 365-8973,1 (250) 365-4810,BW,Request for Proposal,,BC,,,,20190527,20190611,14:00 Pacific Time,Animal Control Services,,"
The City of Castlegar invites proposals for the provision of animal control
 for the 3 1/2 year term of July 1, 2019 to December 31, 2022.

The proposal shall be for provision of animal control, which generally pert
ains to dogs, and shall include a minimum number of hours per year as well 
as a schedule of patrols throughout City areas.

Proposals will be received at City Hall, 460 Columbia Avenue, Castlegar, BC
  V1N 1G7 up to 2:00 p.m., Tuesday, June 11, 2019.

Inquiries should be directed to Tracey Butler, Director of Corporate Servic
es 250- 365-8973.

Proposals will be evaluated by cost, methodology, delivery and experience. 
 The lowest priced proposal may not necessarily be accepted.",,"
Tracey Butler
City of Castlegar
460 Columbia Avenue


Castlegar
British Columbia
V1N 1G7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41612111,BC
2019-19,41611818,0,Devon Aaroe,1 (250) 7843600,,BC02 BC07 IA IA02,Request for Proposal,,BC,,,,20190527,20190628,14:00 Local Time,2019-19 Watermain Condition Assessment RFP,,"
REQUEST FOR PROPOSALS 2019-19 

Watermain Condition Assessment

The City of Dawson Creek invites submissions from qualified Consultants, fi
rms, or specialty contractors with expertise in existing pipe condition and
 leak assessments to undertake non-destructive and non-invasive field asses
sments that require minimal disruption of service or impact to customers.

All contract documents are available through BC Bid. The proponent is solel
y responsible for ensuring any addenda are downloaded, reviewed, and includ
ed in their proposal. Questions regarding specifications can be directed to
 Devon Aaroe, Water Resource Manager, at <a class=""doc_mailto"" href=""mailto
:daaroe@dawsoncreek.ca"">daaroe@dawsoncreek.ca</a>.",,"
Devon Aaroe
City of Dawson Creek (Planholder List)
10105 12A Street,
Box 150

Dawson Creek
British Columbia
V1G 3V7",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611818,BC
19-165,41606817,1,"Talanchuk, Leanne",1 (604) 952-3536,1 (604) 946-5796,41,Request for Quotation,,BC,,,,20190527,20190612,14:00 Pacific Time,Chiller Replacement,,"
Please find Addendum #1 attached.

The City of Delta is inviting bids from qualified and experienced contracto
rs to replace the existing McQuay chiller at the City of Delta's Police Hea
dquarters in Delta, BC as per the attached.

A site visit will be held on May 30, 2019 at 1:00 PM, Delta Police Headquar
ters, 4455 Clarence Taylor Crescent.  Attendance at the site visit is not m
andatory however this your only opportunity to view the site, take measurem
ents and discuss the project with Delta staff as areas are not accessible t
o the public.  Please be sure to bring any required subcontractors. 

Should a correction be necessary or should additional information become av
ailable during the Request for Quotation process, it may be distributed in 
the form of an addendum posted on BC Bid. The City of Delta assumes no resp
onsibility for notifying individual bidders of the existence of addenda.  I
t is the sole responsibility of the bidder to ensure it has obtained, prior
 to the closing, any addenda issued by the City of Delta.",,"
Talanchuk, Leanne 
City of Delta
4500 Clarence Taylor Crescent


Delta
British Columbia
V4K 3E2",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41606817,BC
19-161,41610457,0,"Tegart, Robyn",,1 604 946-5796,6115 BC04,Invitation to Tender,,BC,,,,20190527,20190617,14:00 Pacific Time,Pump Station Generator Replacement,,"
Tenders are invited for the Garry Street Pump Station Generator Replacement
 Project located in Delta, B.C., as per the specifications in the attached 
documents.

Date and location of Site Visit:

9:00 AM, June 4, 2019 at 4630 Garry Street, Delta, BC

Attendance at the site visit is not mandatory. Interested parties are stron
gly advised to attend the meeting to gain familiarity with the project and 
speak with Delta staff. This is your only opportunity to view the site.",,"
Tegart, Robyn 
City of Delta
Purchasing Department
4500 Clarence Taylor Cres

Delta
British Columbia
V4K 3E2",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41610457,BC
19-147,41608288,2,"Bellingham, Darren",1 (604) 952-3644,1 (604) 946-5796,3805,Request for Quotation,,BC,,,,20190527,20190529,14:00 Pacific Time,Front Loader,,"
May 27 2019 - Addendum 2 (attached).

May 15 2019 - Addendum 1 (attached).

The City of Delta is seeking quotations for the supply and delivery of on W
heel Front Loader as per the attached document.

It is solely the responsibility of the bidder to ensure that it has obtaine
d, prior to the closing date and time, any addenda issued by the City of De
lta. Addenda will be posted on BC Bid. The City of Delta assumes no respons
ibility for notifying individual bidders of the existence of addenda.",,"
Bellingham, Darren 
City of Delta
Purchasing Services
4500 Clarence Taylor Crescent

Delta
British Columbia
V4K 3E2",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608288,BC
10500,41608674,2,Jenny Weir,1 (250) 423-6817,1 (250) 423-3034,EE02,Invitation to Tender,,BC,,,,20190527,20190530,14:00 Mountain Time,Maiden Lake Dike Improvements,,"
ADDED May 27, 2019 - Addendum No. 2 - Refer to attachments
ADDED May 23, 2019 - Addendum No. 1 - Refer to attachments

The City of Fernie invites Contractors with relevant experience and experti
se to submit proposals.

The General scope of the project is:
-	Raising and extending the Maiden Lake Dike to meet Flood Construction Lev
els

Proposals titled ""Maiden Lake Dike Improvements"" will be received in hard c
opy at the City of Fernie, City Hall, PO Box 190, 501-3rd Avenue, Fernie, B
C or by email to <a class=""doc_mailto"" href=""mailto:jenny.weir@fernie.ca"">j
enny.weir@fernie.ca</a> up to 2:00PM local time, May 30, 2019.",,"
Jenny Weir
City of Fernie
Engineering Department
501 - 3rd Avenue
PO Box 190
Fernie
British Columbia
V0B 1M0",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608674,BC
RFP2019-021,41607710,0,Kim Hilton,1 (604) 514-2866,,BA24,Request for Proposal,,BC,,,,20190527,20190621,14:00 Local Time,RFP2019-021 Security Guard Services for Langley City,,,,"
Kim Hilton
City of Langley
City Hall
20399 Douglas Crescent

Langley
British Columbia
V3A 4B3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607710,BC
2303,41613085,0,Purchasing Department,1 (250) 756-5319,,EE01,Request for Proposal,,BC,,,,20190527,20190614,15:00 Local Time,Fire Station #1 Independent Commissioning Agent,,"
NOTE: Documents are available on the City of Nanaimo website and at the fol
lowing hyperlink; https://www.nanaimo.ca/bid-opportunities/bid_details.aspx
?id=1306  


Ensure to continue to monitor the City of Nanaimo website throughout the op
en period for this and any bid opportunities at https://www.nanaimo.ca/bid-
opportunities/ 

REQUEST FOR PROPOSAL No. 2303
Fire Station #1 Independent Commissioning Agent
DATE ISSUED:  May 27, 2019
Closing Location:
Purchasing Department
2020 Labieux Road
Nanaimo, BC 
V9T 6J9
ESTABLISHED CLOSING DATE AND TIME:
Proposals must be received prior to:
June 14, 2019; 3:00 pm (15:00 hrs) Pacific Time
CITY CONTACT:
Purchasing Manager
Email: <a class=""doc_mailto"" href=""mailto:purchasinginfo@nanaimo.ca"">purcha
singinfo@nanaimo.ca</a>
Telephone: 250-756-5319

Late Submissions will not be considered 
And
Submissions will not be opened publicly
NOTE:  EMAIL SUBMISSIONS ARE NO LONGER ACCEPTED.  ELECTRONIC SUBMISSIONS AR
E ACCEPTED AT; https://www.nanaimo.ca/bid-opportunities/  AS DESCRIBED IN S
ECTION 2.0 OF THE DOCUMENT",,"
Purchasing Department
City of Nanaimo
Purchasing Department
455 Wallace Street

Nanaimo
British Columbia
V9R 5J6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41613085,BC
NWRFP-19-12,41614186,1,"Matembe, Gilbert",1 (604) 636-4470,1 (604) 521-3895,79 8540 6810,Request for Proposal,,BC,,,,20190527,20190613,15:00 Pacific Time,Janitorial/Custodial Products & Supplies,,"
<b> AMENDMENT #1</b> Frequently Asked Questions (FAQ) #1 issued May 27, 201
9 and posted on the City's website at the link below.


<B><center>REQUEST FOR PROPOSAL </CENTER></B>
The City of New Westminster invites proposals from <b> qualified Proponents
 for the supply and delivery of Janitorial/Custodial supplies in whole or i
n part to various locations within the City. 

The City of New Westminster posts notifications on BC Bid; interested firms
 can download the documents from the City's Purchasing web page at 
<a href=https://www.newwestcity.ca/business-and-economy/doing-business-with
-the-city/request-for-bids-and-proposals-open target=""_blank"">https://www.n
ewwestcity.ca/business-and-economy/doing-business-with-the-city/request-for
-bids-and-proposals-open.php</a>

Proponents are responsible to check for all subsequent addenda/amendments o
n the City website and respond according to the Request for Proposal.",,"
Matembe, Gilbert 
City of New Westminster
Purchasing
511 Royal Ave

New Westminster
British Columbia
V3L 1H9",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41614186,BC
NWIT-19-11,41614160,0,"Rossi, Heather",1 (604) 515-3781,1 (604) 521-3895,BI40 BI45 BI52,Invitation to Tender,,BC,,,,20190527,20190620,15:00 Local Time,2019 Capital Pavement Program,,"
<B><center>INVITATION TO TENDER</CENTER></B>
The City of New Westminster invites Tenders for the <b>2019 Capital Pavemen
t Program </b> in New Westminster, BC. 

The work includes repaving and reconstruction of approximately 55,200 sq.m.
 of roadway with approximately 4,200 cu.m. of common excavation, 4,700 tonn
es of 12.5mm Superpave asphalt, 2,300 tonnes of 19.0mm Superpave asphalt, 2
,900 tonnes of Upper Course #1 asphalt, 3,800 tonnes of Lower Course #1 asp
halt, 1,350 tonnes of Upper Course #2 asphalt, 170 tonnes of Lower Course #
2 asphalt, 3,900 tonnes of base gravel, 3,150 tonnes of sub-base gravel, 26
,200 sq.m. of asphalt pavement surface milling, 24,700 sq.m. of asphalt pav
ement full depth milling, pavement patching and pavement markings, all with
in the City of New Westminster.

The City of New Westminster posts notifications on BC Bid; interested firms
 can download the documents from the City's Purchasing web page at 
<a href=https://www.newwestcity.ca/business-and-economy/doing-business-with
-the-city/request-for-bids-and-proposals-open target=""_blank"">https://www.n
ewwestcity.ca/business-and-economy/doing-business-with-the-city/request-for
-bids-and-proposals-open.php</a>

Bidders are responsible to check for all subsequent addendums/amendments on
 the City website and respond according to the Invitation to Tender documen
ts.",,"
Rossi, Heather 
City of New Westminster
511 Royal Avenue


New Westminster
British Columbia
V3L 1H9",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41614160,BC
2019-TENDER-08,41605983,0,"Bjorndal, Debbie",1 (250) 490-2500,1 (250) 490-2557,43 BC04,Invitation to Tender,,BC,,,,20190527,20190625,15:00 Local Time,2019-TENDER-08 WASTE ACTIVATED SLUDGE PUMP SYSTEM REPLACEMENT,,"
2019-TENDER-08
WWTP WAS PUMP

The City of Penticton (City) invites Tenders for the construction of the AW
WTP WAS Pump
System Replacement generally consisting of:
·	Removal of existing WAS pumps and appurtenances and concrete demolition i
n two
          bioreactor trains to facilitate installation of new equipment
·	Fabrication and installation of a stainless steel sump for the new WAS pu
mps
·	Supply and installation of 4 submersible WAS pumps
·	Demolition and removal of one existing isolation slide gate
·	Supply and installation of two isolation slide gates
·	Miscellaneous metal fabrication
The City invites qualified companies to submit a tender for:

For a copy of the full Request for Tender, please visit the City of Pentict
on website:  <a class=""doc_mailto"" target=""_new"" href=""http://www.penticton
.ca/purchasing"">www.penticton.ca/purchasing</a>

Mandatory Site Meeting:  June 5, 2019 at 10:00 am at the Advanced Wastewate
r Treatment Plant located at 459 Waterloo Avenue, Penticton, BC

Any enquiries related to this 2019-TENDER-08 are to be directed, in writing
, to Cathy Ingram, Procurement Manager, via e-mail at <a class=""doc_mailto""
 href=""mailto:cathy.ingram@penticton.ca"">cathy.ingram@penticton.ca</a>
City of Penticton
Procurement Department, City Yards Office
616 Okanagan Avenue East
Penticton, BC  V2A 3K6

Please note the Closing Date & Time:  3:00pm, Tuesday, June 25, 2019 @ 3:00
pm

NOTE:  Should any potential bidders download this document, it is the sole 
responsibility of the proponent to check the City's website at <a class=""do
c_mailto"" target=""_new"" href=""http://www.penticton.ca/purchasing"">www.penti
cton.ca/purchasing</a> for any updated information and addenda issued befor
e the closing date.   <a class=""doc_mailto"" target=""_new"" href=""http://www.
penticton.ca/purchasing"">www.penticton.ca/purchasing</a> is the only author
ized website to register and obtain competitive bid documents for the City 
of Penticton opportunities.  The City of Penticton shall not be held respon
sible for our",,"
Bjorndal, Debbie 
City of Penticton
Purchasing
616 Okanagan Avenue East

Penticton
British Columbia
V2A 3K6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41605983,BC
2019-RFQ-27,41609631,0,"Bjorndal, Debbie",1 (250) 490-2500,1 (250) 490-2557,2310,Request for Quotation,,BC,,,,20190527,20190605,14:00 Local Time,2019-RFQ-27 MID SIZE PICKUP TRUCKS,,"
2019-RFQ-27
MID SIZE PICKUP TRUCKS

Date Issued:   May 27, 2019

Invitation:

Suppliers are hereby invited to submit pricing for this Quote 2019-RFQ-27 i
ssued by the City of Penticton (the ""City"") for the supply and delivery of 
mid size pickup trucks.

The RFQ documents are available for download at https://penticton.bonfirehu
b.ca/portal

Click the link above or type the address into your browser to go to the por
tal; register as Vendor and the documents will be accessible. It is recomme
nded to download from a PC and ensure your firewall and virus security allo
ws downloads.

Bid Submission:

The Quotation together with all other attachments as identified in the RFQ 
""Submission of Quote"", to be uploaded to the City's procurement portal at h
ttps://penticton.bonfirehub.ca/portal  The City of Penticton reserves the r
ight to accept or reject all or part of any submission/proposal, and to acc
ept the submission/Proposal in total or in part, or to accept the submissio
n/Proposal which it deems most favourable in the interest of the City of Pe
nticton.

2019-RFQ-27 Timetable:

Closing Date and Time:  June 5, 2019 @ 2:00 pm.

The RFQ timetable is tentative only and may be changed by the City at any t
ime.
Bids received after the Submission Deadline will be rejected.

Questions
Questions should be submitted through the Bonfire portal at https://pentict
on.bonfirehub.ca/portal

Addenda:
It is the respondent's responsibility to check the portal for addenda(s).

Only the successful bidder shall be notified, but inquiries are welcome.  R
esults of award can be found at <a class=""doc_mailto"" target=""_new"" href=""h
ttp://www.penticton.ca/purchasing"">www.penticton.ca/purchasing</a>",,"
Bjorndal, Debbie 
City of Penticton
Purchasing
616 Okanagan Avenue East

Penticton
British Columbia
V2A 3K6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41609631,BC
19-09,41611866,0,"Manson, Christi",1 (604) 460-6751,,AP04,Invitation to Quote,,BC,,,,20190527,20190610,14:00 Pacific Time,ITQ 19-09 Volunteer Retention & Recruitment Services,,"
The City of Pitt Meadows invites Proponents to quote on Consulting Services
 for our Volunteer Retention & Recruitment Services for the City's Emergenc
y Support Services Program.",,"
Manson, Christi 
City of Pitt Meadows
Finance
12007 Harris Road

Pitt Meadows
British Columbia
V3Y 2B5",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41611866,BC
19-08,41606990,1,"Manson, Christi",1 (604) 460-6751,,BA19,Invitation to Quote,,BC,,,,20190527,20190528,14:00 Pacific Time,Civic Facilities Painting Services,,"
May 27, 2019: Addendum #1 posted to clarify scope of work, along with a dat
e change for one of the facilities. See Supplier Attachments above.",,"
Manson, Christi 
City of Pitt Meadows
Finance
12007 Harris Road

Pitt Meadows
British Columbia
V3Y 2B5",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41606990,BC
RFP19-19,41614251,4,"Velthuijzen, Jennifer",,,BA13 79 8540,Request for Proposal,,BC,,,,20190527,20190530,14:00 Pacific Time,Janitorial Supplies,,"
This Request for Proposal (RFP) is issued jointly by the City of Port Moody
 and the City of Port Coquitlam.  
___________________________________________________________________________
______________

Amendment 04 contains Addendum 04 and is being issued in response to additi
onal questions received prior to the question closing period of Friday May 
24th.
___________________________________________________________________________
______________

Amendment 03 contains Addendum 03 and is being issued in response to ten (1
0) questions received.
___________________________________________________________________________
______________

Amendment 02 contains Addendum 02 and is being issued to confirm a final da
te for questions to be submitted, and provide response to three (3) questio
ns received.

The final date for questions to be submitted is Friday May 24th at 14:00.
___________________________________________________________________________
_______________

Amendment 01 contains Addendum 01 and is being issued to extend the closing
 date, replace Appendix A, B, C and provide response to six (6) questions r
eceived.",,"
Velthuijzen, Jennifer
City of Port Moody
Purchasing
100 Newport Dr

Port Moody
British Columbia
V3H 5C3",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41614251,BC
6625P,41608876,0,"Sadokha, Mila",1 (604) 2764000,1 (604) 2764162,AF03,Request for Proposal,,BC,,,,20190527,20190618,15:00 Pacific Time,6625P - City Centre Major Facility and Cultural Precinct Study,,"
The City of Richmond is seeking the professional services of a Consultant o
r team of consultants to develop a comprehensive corporate City Centre faci
lities plan by identifying those that can be located within the Cultural Pr
ecinct and those that may be acquired through the Community Amenity Contrib
utions Program and located elsewhere in the City Centre.

See attached ""Supplier Attachments Exist"".",,"
Sadokha, Mila
City of Richmond
6911 No. 3 Road


Richmond
British Columbia
V6Y 2C1",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608876,BC
1220-030-2019-038,41608144,1,"Oppelt, Richard D.",1 (604) 590-7274,,AL04 AL03,Request for Proposal,,BC,,,,20190527,20190606,15:00 Local Time,Management & Operation of Dogwood Campgrounds& RV Park,,"
Addendum No 1 (.pdf) - INFORMATION MEETING SCHEDULED (See Supplier Attachme
nts)
Issue date: May 27, 2019

Request for Proposals
Management and Operation of Dogwood Campgrounds & Recreational Vehicle Park

The City of Surrey (the ""City"") requires an individual or corporation to pr
ovide general management, operation and maintenance services (the ""Operator
"") for the City's public campground/RV park facility owned by the City know
n as Dogwood Campgrounds & RV Park, located at 15151 - 112 Avenue, Surrey, 
British Columbia (the ""Campground"").

The Respondent should have the following attributes:
·Professionalism;
·Good communication skills;
·Ability to perform some skilled maintenance work; and
·Previous experience.

SCOPE OF SERVICES
Operator's duties include but not restricted to the following:
1.Registration and Financial Accounting
2.Public Relations and Campgrounds Guidelines
3.Campground Operation and Maintenance

RFP document for download: (See Supplier Attachments)
Dogwood Campgrounds & Recreational Vehicle Park (.pdf)
Schedule C - Form of Proposal (.doc)

Addenda
If the City determines that an amendment is required to this RFP, the City 
Representative will issue a written addendum by posting it on the BC Bid We
bsite at <a class=""doc_mailto"" target=""_new"" href=""http://www.bcbid.gov.bc.
ca"">www.bcbid.gov.bc.ca</a> (the ""BC Bid Website"") and the City Website at 
<a class=""doc_mailto"" target=""_new"" href=""http://www.surrey.ca"">www.surrey.
ca</a> (the ""City Website"") that will form part of this RFP.  No amendment 
of any kind to the RFP is effective unless it is posted in a formal written
 addendum on the City Website.  Upon submitting a Proposal, Proponents will
 be deemed to have received notice of all addenda that are posted on the Ci
ty Website.

All inquiries related to this RFP should be directed in writing to the pers
on named above.",,"
Oppelt, Richard D. 
City of Surrey
13450 - 104 Avenue


Surrey
British Columbia
V3T 1V8",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41608144,BC
2019-05-Q633,41607448,0,"UMMENHOFER, MICHAEL",1 (778) 797-8877,,BI,Request for Quotation,,BC,,,,20190527,20190610,14:00 Local Time,RFQ CRACK SEALING PROGRAM,,"
The City of West Kelowna (CWK) is seeking a qualified contractor to perform
 the 2019, 2020, and 2021 crack sealing program for select City streets and
 roads. On an annual basis, the location of work will be prioritized by the
 CWK, and the successful contractor will be given the list of streets and r
oads at the time of the pre-construction meeting. It should be noted that t
here are two (2) First Nation reserves within the CWK as well as the Highwa
y 97 and Westside Road corridors that would not be included in the scope of
 this project.",,"
UMMENHOFER, MICHAEL 
City of West Kelowna
PURCHASING
2760 CAMERON RD

West Kelowna
British Columbia
V1Z 2T6",,http://www.bcbid.ca/open.dll/submitLogin?language=En&disID=41607448,BC
